País,direitos de propriedade,Eficácia Judicial,Liberdade Fiscal,Gasto do Governo,Liberdade de negócio,Liberdade de trabalho,Liberdade Monetária,Liberdade de comércio exterior,Liberdade de Investimento,Liberdade Financeira
Hong Kong,90,84,92.9,88.9,98.9,86.2,82.1,90.0,90,90
Singapore,90,92,91.1,91.3,97.1,91.4,82.0,90.0,75,80
Bahrain,55,51,99.9,72.4,75.8,90.4,72.5,82.8,75,80
Taiwan,70,61,80.5,84.9,94.3,53.3,82.9,85.0,65,50
Georgia,45,41,88.2,68.9,90.6,91.1,72.6,89.2,75,60
Japan,80,80,69.2,45.0,81.3,80.3,90.6,81.8,60,50
Macau,60,51,73.5,91.5,60.0,55.0,81.3,90.0,85,70
Qatar,70,72,99.8,81.2,69.4,63.4,80.3,82.5,45,50
United Arab Emirates,55,68,99.9,85.1,74.0,77.6,83.9,82.6,35,50
Jordan,60,45,93.6,68.8,69.2,75.5,82.0,79.6,70,60
South Korea,70,54,73.0,72.8,93.6,48.7,77.9,72.6,70,70
Armenia,30,26,88.0,82.1,87.6,77.1,73.0,85.4,75,70
Cyprus,70,63,79.8,32.7,80.7,62.8,84.1,81.8,75,60
Oman,50,48,98.5,69.1,68.1,80.9,72.7,78.7,55,60
Israel,70,58,60.2,39.3,66.1,63.7,78.6,83.0,80,70
Malaysia ,55,43,85.1,73.5,79.9,72.3,79.8,77.0,45,50
Thailand ,45,34,78.9,83.7,73.2,72.9,68.3,75.2,40,70
Kuwait,50,46,99.9,61.5,57.7,62.8,71.6,76.8,55,50
Kazakhstan,35,27,93.2,84.5,71.8,88.4,72.2,78.2,30,50
Turkey,50,42,77.0,64.9,68.2,43.1,73.3,85.2,65,60
Mongolia,30,27,82.5,62.6,70.4,79.2,75.6,79.8,50,60
Sri Lanka,40,33,84.7,86.5,77.0,60.8,69.1,76.2,40,40
Saudi Arabia,40,44,99.6,52.2,68.2,69.2,65.7,77.3,40,50
Azerbaijan,25,24,85.5,67.8,69.2,79.4,73.5,77.2,55,40
Kyrgyz Republic ,20,21,94.8,56.4,73.2,88.6,66.7,75.4,50,50
Lebanon,20,25,90.8,74.6,50.3,57.2,76.5,80.4,60,60
Cambodia,30,21,90.9,88.4,39.4,54.2,81.3,70.2,60,50
The Philippines,30,26,79.3,90.2,53.1,51.0,76.6,75.5,50,50
Indonesia,30,30,83.4,89.2,50.2,50.8,75.5,75.0,35,50
Yemen,30,21,91.5,72.8,61.3,55.3,65.7,81.5,50,30
India,50,31,78.3,77.9,37.3,73.6,65.3,63.6,35,40
Pakistan ,30,25,80.5,89.0,70.7,47.9,67.0,66.0,35,40
Bhutan,60,57,82.7,38.8,60.5,84.4,67.3,49.5,20,30
Tajikistan,20,23,92.8,78.1,61.7,55.5,64.6,78.2,20,40
Bangladesh ,20,27,72.7,92.1,68.0,51.9,65.4,54.0,55,20
China,20,36,70.2,83.3,48.0,62.6,71.6,72.0,25,30
Vietnam,15,29,75.6,72.4,63.8,65.5,65.3,78.6,15,30
Nepal,30,22,85.8,89.2,57.2,44.3,75.1,60.8,10,30
Laos,15,22,79.7,85.8,62.1,54.7,73.0,58.7,30,20
Maldives,25,25,98.8,14.5,88.7,64.0,70.4,43.7,30,30
Uzbekistan,15,16,90.2,67.8,71.2,61.0,63.0,66.1,0,10
Timor-Leste,20,24,64.7,0.0,44.8,81.2,69.3,73.0,40,20
Iran,10,27,80.8,80.5,65.3,55.0,58.0,45.7,0,10
Turkmenistan,5,16,94.0,91.7,30.0,30.0,70.6,79.2,0,10
Burma,10,15,81.9,96.8,20.0,20.0,65.1,73.6,0,10
